,comName,date,lat,lng,locId,sciName,subId
13569,European Pied Flycatcher,2023-06-02,49.5570663,11.0500145,L2832195,Ficedula hypoleuca,S140250389
13570,Dunnock,2023-06-02,51.9606078,5.7597385,L24881944,Prunella modularis,S140242008
13571,Eurasian Blue Tit,2023-06-02,51.9606078,5.7597385,L24881944,Cyanistes caeruleus,S140242008
13572,Eurasian Collared-Dove,2023-06-02,51.9606078,5.7597385,L24881944,Streptopelia decaocto,S140242008
13573,House Sparrow,2023-06-02,51.9606078,5.7597385,L24881944,Passer domesticus,S140242008
13574,Short-toed Treecreeper,2023-06-02,51.9606078,5.7597385,L24881944,Certhia brachydactyla,S140242008
13575,Eurasian Nuthatch,2023-06-02,51.9606078,5.7597385,L24881944,Sitta europaea,S140242008
13576,Eurasian Spoonbill,2023-06-02,51.9606078,5.7597385,L24881944,Platalea leucorodia,S140242008
13577,Common House-Martin,2023-06-02,51.9606078,5.7597385,L24881944,Delichon urbicum,S140242008
13578,Rook,2023-06-02,48.1525336,11.4163606,L16191847,Corvus frugilegus,S140240663
13579,European Greenfinch,2023-06-02,48.1525336,11.4163606,L16191847,Chloris chloris,S140240663
13580,Alpine Swift,2023-06-02,39.7382095,3.2766448,L23744211,Apus melba,S140239238
13581,European Shag,2023-06-02,39.7382095,3.2766448,L23744211,Gulosus aristotelis,S140239238
13582,Audouin's Gull,2023-06-02,39.7382095,3.2766448,L23744211,Ichthyaetus audouinii,S140239238
13583,European Turtle-Dove,2023-06-02,42.2042312,-7.8235625,L24881260,Streptopelia turtur,S140239137
13584,Tawny Pipit,2023-06-02,42.5361377,-2.9906869,L24881218,Anthus campestris,S140238945
13585,Great Spotted Cuckoo,2023-06-02,41.7996133,-0.592935,L24881652,Clamator glandarius,S140240736
13586,European Serin,2023-06-02,50.6095619,7.2202358,L24873146,Serinus serinus,S140238985
13587,Calandra Lark,2023-06-02,41.7996133,-0.592935,L24881652,Melanocorypha calandra,S140240736
13588,Red-billed Chough,2023-06-02,41.7996133,-0.592935,L24881652,Pyrrhocorax pyrrhocorax,S140240736
13589,Black-headed Gull,2023-06-02,51.812843,8.3894511,L12667028,Chroicocephalus ridibundus,S140241329
13590,House Sparrow,2023-06-02,51.812843,8.3894511,L12667028,Passer domesticus,S140241329
13591,Common Buzzard,2023-06-02,51.812843,8.3894511,L12667028,Buteo buteo,S140241329
13592,Barn Swallow,2023-06-02,51.812843,8.3894511,L12667028,Hirundo rustica,S140241329
13593,Common Chaffinch,2023-06-02,36.960186,-3.358572,L24887025,Fringilla coelebs,S140263542
13594,Black Woodpecker,2023-06-02,42.5209649,1.3090575,L5223133,Dryocopus martius,S140252321
13595,Common Chiffchaff,2023-06-02,47.9075913,-4.3312199,L12963103,Phylloscopus collybita,S140244561
13596,European Turtle-Dove,2023-06-02,47.9075913,-4.3312199,L12963103,Streptopelia turtur,S140244561
13597,Mistle Thrush,2023-06-02,42.5209649,1.3090575,L5223133,Turdus viscivorus,S140252321
13598,Common Reed Warbler,2023-06-02,47.9075913,-4.3312199,L12963103,Acrocephalus scirpaceus,S140244561
13599,Great Spotted Woodpecker,2023-06-02,42.5209649,1.3090575,L5223133,Dendrocopos major,S140252321
13600,Eurasian Wren,2023-06-02,47.9075913,-4.3312199,L12963103,Troglodytes troglodytes,S140244561
13601,Long-tailed Tit,2023-06-02,42.5209649,1.3090575,L5223133,Aegithalos caudatus,S140252321
13602,Eurasian Skylark,2023-06-02,47.9075913,-4.3312199,L12963103,Alauda arvensis,S140244561
13603,Great Spotted Woodpecker,2023-06-02,47.9075913,-4.3312199,L12963103,Dendrocopos major,S140244561
13604,Eurasian Blue Tit,2023-06-02,47.9075913,-4.3312199,L12963103,Cyanistes caeruleus,S140244561
13605,Ring-necked Pheasant,2023-06-02,47.9075913,-4.3312199,L12963103,Phasianus colchicus,S140244561
13606,Yellowhammer,2023-06-02,47.9075913,-4.3312199,L12963103,Emberiza citrinella,S140244561
13607,Lesser Black-backed Gull,2023-06-02,47.9075913,-4.3312199,L12963103,Larus fuscus,S140244561
13608,Dunnock,2023-06-02,47.9075913,-4.3312199,L12963103,Prunella modularis,S140244561
13609,European Goldfinch,2023-06-02,47.9075913,-4.3312199,L12963103,Carduelis carduelis,S140244561
13610,Barn Swallow,2023-06-02,47.9075913,-4.3312199,L12963103,Hirundo rustica,S140244561
13611,Coal Tit,2023-06-02,42.5209649,1.3090575,L5223133,Periparus ater,S140252321
13612,Goldcrest,2023-06-02,42.5209649,1.3090575,L5223133,Regulus regulus,S140252321
13613,Eurasian Marsh-Harrier,2023-06-02,47.9075913,-4.3312199,L12963103,Circus aeruginosus,S140244561
13614,Zitting Cisticola,2023-06-02,47.9075913,-4.3312199,L12963103,Cisticola juncidis,S140244561
13615,Eurasian Jay,2023-06-02,52.3544739,4.8962545,L4788054,Garrulus glandarius,S140242331
13616,Alexandrine Parakeet,2023-06-02,52.3544739,4.8962545,L4788054,Psittacula eupatria,S140242331
13617,Egyptian Goose,2023-06-02,52.3544739,4.8962545,L4788054,Alopochen aegyptiaca,S140242331
13618,Rose-ringed Parakeet,2023-06-02,52.3544739,4.8962545,L4788054,Psittacula krameri,S140242331
13619,Eurasian Blackcap,2023-06-02,52.3544739,4.8962545,L4788054,Sylvia atricapilla,S140242331
13620,Stock Dove,2023-06-02,52.3544739,4.8962545,L4788054,Columba oenas,S140242331
13621,Rock Pigeon,2023-06-02,52.3544739,4.8962545,L4788054,Columba livia,S140242331
13622,Eurasian Moorhen,2023-06-02,52.3544739,4.8962545,L4788054,Gallinula chloropus,S140242331
13623,Lesser Black-backed Gull,2023-06-02,52.3544739,4.8962545,L4788054,Larus fuscus,S140242331
13624,Common Chaffinch,2023-06-02,52.3544739,4.8962545,L4788054,Fringilla coelebs,S140242331
13625,Long-tailed Tit,2023-06-02,52.3544739,4.8962545,L4788054,Aegithalos caudatus,S140242331
13626,Black-crowned Night-Heron,2023-06-02,39.8694128,-4.0436796,L24879404,Nycticorax nycticorax,S140237771
13627,Greater Short-toed Lark,2023-06-02,41.6626071,-1.1379738,L23980923,Calandrella brachydactyla,S140240689
13628,Short-toed Snake-Eagle,2023-06-02,41.6626071,-1.1379738,L23980923,Circaetus gallicus,S140240689
13629,Pin-tailed Sandgrouse,2023-06-02,41.6626071,-1.1379738,L23980923,Pterocles alchata,S140240689
13630,European Starling,2023-06-02,47.8472687,2.7375795,L13122675,Sturnus vulgaris,S140238000
13631,Rook,2023-06-02,47.8472687,2.7375795,L13122675,Corvus frugilegus,S140238000
13632,Rock Pigeon,2023-06-02,47.8472687,2.7375795,L13122675,Columba livia,S140238000
13633,Common Firecrest,2023-06-02,47.8472687,2.7375795,L13122675,Regulus ignicapilla,S140238000
13634,Common House-Martin,2023-06-02,47.8472687,2.7375795,L13122675,Delichon urbicum,S140238000
13635,Common Quail,2023-06-02,43.554401,-6.9747739,L21116245,Coturnix coturnix,S140254694
13636,Western Yellow Wagtail,2023-06-02,43.554401,-6.9747739,L21116245,Motacilla flava,S140254694
13637,Alpine Swift,2023-06-02,45.7347117,8.5799253,L24881246,Apus melba,S140239085
13638,European Starling,2023-06-02,45.7347117,8.5799253,L24881246,Sturnus vulgaris,S140239085
13639,European Greenfinch,2023-06-02,45.7347117,8.5799253,L24881246,Chloris chloris,S140239085
13640,Mute Swan,2023-06-02,45.7347117,8.5799253,L24881246,Cygnus olor,S140239085
13641,Great Reed Warbler,2023-06-02,45.7347117,8.5799253,L24881246,Acrocephalus arundinaceus,S140239085
13642,Mallard,2023-06-02,45.7347117,8.5799253,L24881246,Anas platyrhynchos,S140239085
13643,Great Crested Grebe,2023-06-02,45.7347117,8.5799253,L24881246,Podiceps cristatus,S140239085
13644,Water Rail,2023-06-02,42.2006709,-8.7755656,L4279363,Rallus aquaticus,S140246533
13645,Red-crested Pochard,2023-06-02,40.6507669,0.6696296,L3924367,Netta rufina,S140248117
13646,Common Tern,2023-06-02,40.6507669,0.6696296,L3924367,Sterna hirundo,S140248117
13647,Black-winged Stilt,2023-06-02,40.6507669,0.6696296,L3924367,Himantopus himantopus,S140248117
13648,Eurasian Coot,2023-06-02,40.6507669,0.6696296,L3924367,Fulica atra,S140248117
13649,Greater Flamingo,2023-06-02,40.6507669,0.6696296,L3924367,Phoenicopterus roseus,S140248117
13650,Wood Warbler,2023-06-02,51.1893865,6.1349802,L20584342,Phylloscopus sibilatrix,S140262477
13651,Eurasian Jay,2023-06-02,51.1893865,6.1349802,L20584342,Garrulus glandarius,S140262477
13652,Mediterranean Gull,2023-06-02,39.3507159,-0.4029874,L13132946,Ichthyaetus melanocephalus,S140239787
13653,Little Grebe,2023-06-02,39.3507159,-0.4029874,L13132946,Tachybaptus ruficollis,S140239787
13654,Short-toed Treecreeper,2023-06-02,51.1893865,6.1349802,L20584342,Certhia brachydactyla,S140262477
13655,Crested Tit,2023-06-02,42.2987317,1.8933407,L7834100,Lophophanes cristatus,S140247092
13656,Citril Finch,2023-06-02,42.2987317,1.8933407,L7834100,Carduelis citrinella,S140247092
13657,Western Swamphen,2023-06-02,39.3507159,-0.4029874,L13132946,Porphyrio porphyrio,S140239787
13658,European Stonechat,2023-06-02,51.1893865,6.1349802,L20584342,Saxicola rubicola,S140262477
13659,Gull-billed Tern,2023-06-02,39.3507159,-0.4029874,L13132946,Gelochelidon nilotica,S140239787
13660,Coal Tit,2023-06-02,51.1893865,6.1349802,L20584342,Periparus ater,S140262477
13661,Hawfinch,2023-06-02,51.1893865,6.1349802,L20584342,Coccothraustes coccothraustes,S140262477
13662,Collared Pratincole,2023-06-02,39.3507159,-0.4029874,L13132946,Glareola pratincola,S140239787
13663,Iberian Gray Shrike,2023-06-02,39.3507159,-0.4029874,L13132946,Lanius meridionalis,S140239787
13664,Black-headed Gull,2023-06-02,39.3507159,-0.4029874,L13132946,Chroicocephalus ridibundus,S140239787
13665,Mistle Thrush,2023-06-02,51.4461343,6.9839865,L13162119,Turdus viscivorus,S140236948
13666,Corsican Finch,2023-06-02,42.41941,8.65972,L3802178,Carduelis corsicana,S140236002
13667,Red-legged Partridge,2023-06-02,42.4592443,1.8449306,L5929831,Alectoris rufa,S140246936
13668,White-throated Dipper,2023-06-02,42.41941,8.65972,L3802178,Cinclus cinclus,S140236002
13669,Long-tailed Tit,2023-06-02,42.41941,8.65972,L3802178,Aegithalos caudatus,S140236002
13670,Eurasian Collared-Dove,2023-06-02,49.3232087,11.070509,L21778090,Streptopelia decaocto,S140238518
13671,Common Merganser,2023-06-02,45.9851499,9.2622538,L7285759,Mergus merganser,S140235640
13672,Cirl Bunting,2023-06-02,40.4491867,-2.3096367,L24881704,Emberiza cirlus,S140240969
13673,Eurasian Magpie,2023-06-02,51.236589,4.582642,L24880411,Pica pica,S140235533
13674,Iberian Magpie,2023-06-02,38.489607,-3.2727242,L6489609,Cyanopica cooki,S140238690
13675,Hawfinch,2023-06-02,38.489607,-3.2727242,L6489609,Coccothraustes coccothraustes,S140238690
13676,Garden Warbler,2023-06-02,42.633179,-1.302024,L24882920,Sylvia borin,S140246009
13677,Eurasian Griffon,2023-06-02,42.633179,-1.302024,L24882920,Gyps fulvus,S140246009
13678,Egyptian Vulture,2023-06-02,42.633179,-1.302024,L24882920,Neophron percnopterus,S140246009
13679,Bank Swallow,2023-06-02,42.633179,-1.302024,L24882920,Riparia riparia,S140246009
13680,Common Reed Warbler,2023-06-02,38.3364724,-0.7256126,L23952442,Acrocephalus scirpaceus,S140270346
13681,Red-rumped Swallow,2023-06-02,38.3364724,-0.7256126,L23952442,Cecropis daurica,S140270346
13682,Berthelot's Pipit,2023-06-02,28.4009893,-16.6738987,L8993371,Anthus berthelotii,S140275366
13683,Cinereous Vulture,2023-06-02,40.0284272,-6.0847117,L7597008,Aegypius monachus,S140251914
13684,Great Reed Warbler,2023-06-02,38.3364724,-0.7256126,L23952442,Acrocephalus arundinaceus,S140270346
13685,Black Kite,2023-06-02,40.0284272,-6.0847117,L7597008,Milvus migrans,S140251914
13686,Lesser Kestrel,2023-06-02,40.0284272,-6.0847117,L7597008,Falco naumanni,S140251914
13687,Bulwer's Petrel,2023-06-02,28.4009893,-16.6738987,L8993371,Bulweria bulwerii,S140275366
13688,Cory's Shearwater,2023-06-02,28.4009893,-16.6738987,L8993371,Calonectris diomedea,S140275366
13689,Booted Eagle,2023-06-02,40.0284272,-6.0847117,L7597008,Hieraaetus pennatus,S140251914
13690,Black Wheatear,2023-06-02,38.787465,-6.2661602,L1122011,Oenanthe leucura,S140235619
13691,Rock Sparrow,2023-06-02,43.8145484,3.7618561,L24764432,Petronia petronia,S140244869
13692,Red-legged Partridge,2023-06-02,43.8145484,3.7618561,L24764432,Alectoris rufa,S140244869
